icao24,wake_vortex,wake_vortex_index
7aa445,Obstruction,1.0
394a08,Heavy,0.0
4d24ba,"<136,000kg",3.0
06a0df,Heavy,0.0
4ca64e,"<136,000kg",3.0
39d702,"<34,000kg",4.0
503e98,"<136,000kg",3.0
4bb069,"<136,000kg",3.0
c05857,Heavy,0.0
3c55c6,"<136,000kg",3.0
440057,"<136,000kg",3.0
3cd906,"<34,000kg",4.0
06a0bc,Heavy,0.0
471f6f,"<136,000kg",3.0
406011,"<136,000kg",3.0
347281,Heavy,0.0
48c1bb,"<136,000kg",3.0
4cc553,"<136,000kg",3.0
0701a0,Heavy,0.0
400db2,"<136,000kg",3.0
406ca3,"<136,000kg",3.0
471fa0,"<136,000kg",3.0
4076cc,"<136,000kg",3.0
4b9c61,"<136,000kg",3.0
49d3d4,"<136,000kg",3.0
06a139,Heavy,0.0
3c65cc,"<136,000kg",3.0
71be17,Heavy,0.0
4bb20e,"<136,000kg",3.0
491314,"<34,000kg",4.0
780d29,Heavy,0.0
3944e5,,2.0
02013d,Heavy,0.0
458665,"<136,000kg",3.0
3950cc,"<136,000kg",3.0
39b904,<7000kg,7.0
4bb190,Heavy,0.0
49526b,"<136,000kg",3.0
5083a3,"<34,000kg",4.0
896210,Heavy,0.0
040190,Heavy,0.0
3c648e,"<136,000kg",3.0
4acb01,,2.0
3c70b5,High vortex,8.0
3949ea,Heavy,0.0
45ac37,"<136,000kg",3.0
0a007a,"<136,000kg",3.0
400a0e,"<136,000kg",3.0
471e16,"<136,000kg",3.0
8963d1,Heavy,0.0
471fac,"<136,000kg",3.0
34710c,UAM,16.0
3c70cb,Heavy,0.0
4bb87a,"<136,000kg",3.0
4005c1,Heavy,0.0
4cae1b,"<136,000kg",3.0
392aee,"<136,000kg",3.0
407e4c,"<34,000kg",4.0
40666c,"<136,000kg",3.0
3cc108,"<34,000kg",4.0
406d59,<7000kg,7.0
600b21,Heavy,0.0
3c6662,"<136,000kg",3.0
407f7c,"<136,000kg",3.0
33fff2,,2.0
4691c8,"<136,000kg",3.0
3c65c5,"<136,000kg",3.0
471f6e,"<136,000kg",3.0
010269,"<136,000kg",3.0
49d2b7,"<136,000kg",3.0
406b6c,"<136,000kg",3.0
48436f,Heavy,0.0
a8a110,Heavy,0.0
910b86,Obstruction,1.0
3c666c,"<136,000kg",3.0
42450a,"<34,000kg",4.0
aba848,Surface emergency vehicle,5.0
001910,,2.0
e4910e,Heavy,0.0
347256,"<136,000kg",3.0
34518e,Surface emergency vehicle,5.0
4400cd,"<136,000kg",3.0
39cf13,Heavy,0.0
348118,Obstruction,1.0
02ebaa,Ultralight,9.0
471efd,"<136,000kg",3.0
44a10f,"<34,000kg",4.0
4ca301,"<136,000kg",3.0
408051,"<136,000kg",3.0
06a1cf,"<136,000kg",3.0
346290,<7000kg,7.0
4d21b5,"<34,000kg",4.0
06a1d1,"<136,000kg",3.0
02a198,"<136,000kg",3.0
4064a4,"<136,000kg",3.0
3d77ff,<7000kg,7.0
4d2350,"<136,000kg",3.0
4405ea,"<136,000kg",3.0
461f48,Heavy,0.0
4bb201,"<136,000kg",3.0
491d82,"<136,000kg",3.0
4cad7e,"<136,000kg",3.0
aab202,Heavy,0.0
4401e8,"<136,000kg",3.0
a0020b,"<136,000kg",3.0
4cc52c,"<136,000kg",3.0
394a0a,Heavy,0.0
345248,"<136,000kg",3.0
7324e1,,2.0
4bb273,"<136,000kg",3.0
acb84d,Heavy,0.0
40697c,"<136,000kg",3.0
ab349f,Heavy,0.0
4068f5,"<136,000kg",3.0
46b8a6,"<136,000kg",3.0
4acb44,"<136,000kg",3.0
407fca,"<136,000kg",3.0
491d8a,"<136,000kg",3.0
4acaa4,"<136,000kg",3.0
4cc530,"<136,000kg",3.0
486800,"<136,000kg",3.0
45c86c,"<136,000kg",3.0
3425cc,<7000kg,7.0
491d9a,"<136,000kg",3.0
3c66a2,"<136,000kg",3.0
adfd6d,"<34,000kg",4.0
aa8e34,"<34,000kg",4.0
354556,Heavy,0.0
4984b6,"<34,000kg",4.0
490d0c,"<34,000kg",4.0
400c2f,<7000kg,7.0
aaf0c6,Heavy,0.0
406d95,"<136,000kg",3.0
3b76ae,Heavy,0.0
3ceee1,"<34,000kg",4.0
896174,Heavy,0.0
44b450,"<34,000kg",4.0
b4690a,Ultralight,9.0
c2efe9,Surface emergency vehicle,5.0
4b17fb,"<136,000kg",3.0
600808,"<34,000kg",4.0
e41977,Lighter than air,12.0
4950cf,"<34,000kg",4.0
484ba9,<7000kg,7.0
9669b3,,2.0
4d24ad,"<136,000kg",3.0
3441d6,Obstruction,1.0
e07246,Heavy,0.0
aabf80,Heavy,0.0
3441d4,Obstruction,1.0
4ca719,"<136,000kg",3.0
348112,Obstruction,1.0
348111,Obstruction,1.0
34810f,Obstruction,1.0
394c19,"<136,000kg",3.0
34810e,Obstruction,1.0
787923,Rotorcraft,6.0
440170,"<136,000kg",3.0
4d20c8,"<34,000kg",4.0
4d2519,"<136,000kg",3.0
484506,"<136,000kg",3.0
3c5ef8,"<136,000kg",3.0
4d23b8,"<136,000kg",3.0
4d2209,"<136,000kg",3.0
4d2230,"<136,000kg",3.0
4ca259,"<136,000kg",3.0
45209c,"<136,000kg",3.0
4b1619,"<136,000kg",3.0
407687,"<136,000kg",3.0
4408c9,"<136,000kg",3.0
48c137,"<136,000kg",3.0
4d2076,"<136,000kg",3.0
780bb7,Heavy,0.0
4d2241,"<136,000kg",3.0
3c4b45,"<136,000kg",3.0
341087,Obstruction,1.0
4080db,"<136,000kg",3.0
39a2e0,"<136,000kg",3.0
4008e5,"<136,000kg",3.0
3474c1,<7000kg,7.0
4d2416,"<136,000kg",3.0
4ba933,Heavy,0.0
503d70,"<136,000kg",3.0
4bb061,"<136,000kg",3.0
4400ec,"<136,000kg",3.0
4009f9,"<136,000kg",3.0
4d2387,"<136,000kg",3.0
406900,"<136,000kg",3.0
34260e,"<136,000kg",3.0
4d2218,"<136,000kg",3.0
0200ea,"<136,000kg",3.0
40087a,"<136,000kg",3.0
407b70,"<136,000kg",3.0
738052,"<136,000kg",3.0
45aa4b,,2.0
896534,Heavy,0.0
342358,Obstruction,1.0
a915cc,"<34,000kg",4.0
40655b,"<136,000kg",3.0
4d226f,"<136,000kg",3.0
39cf08,Heavy,0.0
3c49e7,"<136,000kg",3.0
4ca215,"<136,000kg",3.0
343652,Obstruction,1.0
44020b,"<34,000kg",4.0
440589,"<136,000kg",3.0
48663e,"<136,000kg",3.0
440095,"<136,000kg",3.0
4d24fa,"<136,000kg",3.0
503d78,"<136,000kg",3.0
40650b,"<136,000kg",3.0
02a262,"<136,000kg",3.0
39d30b,"<136,000kg",3.0
345613,"<136,000kg",3.0
49514c,"<136,000kg",3.0
3cc24a,"<34,000kg",4.0
5003ba,"<34,000kg",4.0
4d2263,"<136,000kg",3.0
39e691,"<136,000kg",3.0
4acb5a,"<136,000kg",3.0
4d00f6,"<136,000kg",3.0
44d2aa,"<136,000kg",3.0
4bb86d,"<136,000kg",3.0
4d23c4,Heavy,0.0
780bb9,Heavy,0.0
471f71,"<136,000kg",3.0
39d301,"<136,000kg",3.0
4070e7,"<136,000kg",3.0
406017,"<136,000kg",3.0
4ca770,"<136,000kg",3.0
020118,"<136,000kg",3.0
406669,"<136,000kg",3.0
4d21f7,"<136,000kg",3.0
4ca8d5,"<136,000kg",3.0
440af4,,2.0
4d200c,"<136,000kg",3.0
347488,Heavy,0.0
4d22af,"<136,000kg",3.0
4bc884,"<136,000kg",3.0
424bcf,<7000kg,7.0
44ccca,Heavy,0.0
4ba932,Heavy,0.0
4867b0,"<136,000kg",3.0
4b17fd,"<136,000kg",3.0
3c64a2,"<136,000kg",3.0
896183,Heavy,0.0
3c70c1,Heavy,0.0
3b353f,Reserved,10.0
4d211b,"<136,000kg",3.0
40749e,"<34,000kg",4.0
398569,"<136,000kg",3.0
39c429,Heavy,0.0
3986e8,"<136,000kg",3.0
407794,"<136,000kg",3.0
896312,Heavy,0.0
406250,"<136,000kg",3.0
345258,<7000kg,7.0
a759f1,Heavy,0.0
010247,"<136,000kg",3.0
494116,"<34,000kg",4.0
4ac8e6,"<136,000kg",3.0
4d2389,"<34,000kg",4.0
06a079,Heavy,0.0
4d24ae,"<136,000kg",3.0
4ca875,"<34,000kg",4.0
4861d4,"<34,000kg",4.0
48af05,"<136,000kg",3.0
4d21c8,"<136,000kg",3.0
463a2c,<7000kg,7.0
4ca702,"<136,000kg",3.0
44c9eb,"<34,000kg",4.0
44cdc6,"<136,000kg",3.0
3c0ca6,"<136,000kg",3.0
40624f,"<136,000kg",3.0
3c66e6,"<136,000kg",3.0
452082,,2.0
344459,"<136,000kg",3.0
493296,"<34,000kg",4.0
49d38c,"<136,000kg",3.0
3c70c3,Heavy,0.0
4d22bc,"<136,000kg",3.0
71c393,Heavy,0.0
461f64,"<136,000kg",3.0
3c49e8,"<136,000kg",3.0
484ee5,"<136,000kg",3.0
738068,"<136,000kg",3.0
3c4b32,Heavy,0.0
acc306,"<136,000kg",3.0
471f63,"<136,000kg",3.0
4952cf,"<136,000kg",3.0
020112,"<136,000kg",3.0
4a524f,"<34,000kg",4.0
3c49cc,"<136,000kg",3.0
452138,"<136,000kg",3.0
400afd,"<136,000kg",3.0
39a685,Parachutist,18.0
3442c2,"<34,000kg",4.0
4d227d,"<136,000kg",3.0
406015,"<136,000kg",3.0
346193,"<136,000kg",3.0
40747f,<7000kg,7.0
02a0ad,Heavy,0.0
341319,Obstruction,1.0
394a13,Heavy,0.0
346146,Heavy,0.0
4d22ad,"<136,000kg",3.0
489222,"<136,000kg",3.0
0d6a04,Reserved,10.0
39d2a6,Heavy,0.0
4d226e,"<136,000kg",3.0
3c4b27,Heavy,0.0
06a001,Heavy,0.0
4b1819,"<136,000kg",3.0
001801,<7000kg,7.0
0d0cd3,"<136,000kg",3.0
3463d7,<7000kg,7.0
347414,Rotorcraft,6.0
3c664e,"<136,000kg",3.0
502d7d,"<136,000kg",3.0
789233,Heavy,0.0
485a34,"<136,000kg",3.0
484b09,"<34,000kg",4.0
3c49ed,"<136,000kg",3.0
a05fc0,"<34,000kg",4.0
3cdc92,<7000kg,7.0
3ebd41,"<136,000kg",3.0
39e697,"<136,000kg",3.0
3c6496,"<136,000kg",3.0
e49a5c,"<34,000kg",4.0
4b846e,"<136,000kg",3.0
45ab54,"<136,000kg",3.0
40717d,"<136,000kg",3.0
aa9093,Heavy,0.0
400f02,"<136,000kg",3.0
3e2649,<7000kg,7.0
3c5eec,"<136,000kg",3.0
490d09,"<34,000kg",4.0
896169,Heavy,0.0
3e5241,<7000kg,7.0
407fda,"<136,000kg",3.0
3964f3,"<136,000kg",3.0
0a0020,"<136,000kg",3.0
49328d,"<34,000kg",4.0
43ea15,"<34,000kg",4.0
4081a9,"<136,000kg",3.0
491185,"<34,000kg",4.0
3465d4,"<136,000kg",3.0
a1f868,<7000kg,7.0
4cc576,"<136,000kg",3.0
394a15,Heavy,0.0
4070e3,"<136,000kg",3.0
458666,"<136,000kg",3.0
4bb84c,"<136,000kg",3.0
896489,Heavy,0.0
7816b3,Heavy,0.0
e80475,Heavy,0.0
aae597,Heavy,0.0
aa57df,Heavy,0.0
3455d7,"<136,000kg",3.0
472f96,,2.0
500378,"<34,000kg",4.0
06a0bb,Heavy,0.0
06a10d,Heavy,0.0
aa92f8,Heavy,0.0
4ca73f,"<136,000kg",3.0
4ca264,"<136,000kg",3.0
345043,"<136,000kg",3.0
4ca8da,"<136,000kg",3.0
896218,Heavy,0.0
89621b,Heavy,0.0
40804e,"<136,000kg",3.0
4050d3,Reserved,10.0
4a5243,"<34,000kg",4.0
4692d7,"<136,000kg",3.0
491d89,"<136,000kg",3.0
491310,"<34,000kg",4.0
3a330c,"<34,000kg",4.0
4d2305,"<34,000kg",4.0
44d2b6,"<136,000kg",3.0
4892c8,"<136,000kg",3.0
4ca765,"<136,000kg",3.0
a0de4e,"<34,000kg",4.0
4081aa,"<136,000kg",3.0
a00690,<7000kg,7.0
3c0ac6,"<136,000kg",3.0
502d10,"<136,000kg",3.0
49410a,"<34,000kg",4.0
3c942d,"<34,000kg",4.0
39cf00,Heavy,0.0
4070e9,"<136,000kg",3.0
3cc09c,"<34,000kg",4.0
4076dd,"<136,000kg",3.0
40717b,"<136,000kg",3.0
4d2102,"<34,000kg",4.0
46b8b0,"<136,000kg",3.0
06a1bc,Heavy,0.0
0a0027,"<136,000kg",3.0
3c654e,"<136,000kg",3.0
4d0231,"<136,000kg",3.0
ab7613,Heavy,0.0
3473d9,"<34,000kg",4.0
4d02d9,"<34,000kg",4.0
49530d,"<136,000kg",3.0
493294,"<34,000kg",4.0
34768c,"<136,000kg",3.0
4d2226,"<136,000kg",3.0
4ca708,"<136,000kg",3.0
471f69,"<136,000kg",3.0
34615a,Heavy,0.0
4bb188,Heavy,0.0
40797c,Heavy,0.0
511189,"<136,000kg",3.0
48c12f,"<136,000kg",3.0
4b1870,"<34,000kg",4.0
a99290,"<34,000kg",4.0
3480cc,Heavy,0.0
4d21ec,"<136,000kg",3.0
344450,Heavy,0.0
3c648a,"<136,000kg",3.0
461f4d,Heavy,0.0
4d0208,"<34,000kg",4.0
a4fc00,Heavy,0.0
3965b2,Heavy,0.0
406a95,"<136,000kg",3.0
ce7d5b,High performance,13.0
4d2358,"<34,000kg",4.0
0a0087,Heavy,0.0
06a1e9,Heavy,0.0
4d23fc,"<136,000kg",3.0
4ca27a,"<136,000kg",3.0
345611,"<136,000kg",3.0
ac1076,Heavy,0.0
4d2417,"<136,000kg",3.0
8963cf,Heavy,0.0
4850d0,"<34,000kg",4.0
944644,<7000kg,7.0
3cccf5,"<34,000kg",4.0
424c6b,"<34,000kg",4.0
3e31d8,<7000kg,7.0
ab8747,Reserved,10.0
4d22c8,"<136,000kg",3.0
440bc0,High vortex,8.0
aa9801,Heavy,0.0
39a205,"<136,000kg",3.0
aa7439,Heavy,0.0
a41941,Heavy,0.0
a19f8e,"<136,000kg",3.0
3451d6,"<34,000kg",4.0
c058bb,Heavy,0.0
3461c1,"<34,000kg",4.0
45884c,<7000kg,7.0
4bb195,Heavy,0.0
49329a,"<34,000kg",4.0
407f0d,"<136,000kg",3.0
4d233d,"<34,000kg",4.0
395d66,Heavy,0.0
40097f,"<136,000kg",3.0
44023f,"<136,000kg",3.0
4ca568,"<136,000kg",3.0
407d00,"<136,000kg",3.0
e4998a,"<34,000kg",4.0
48c1a1,"<136,000kg",3.0
346317,"<136,000kg",3.0
740826,Heavy,0.0
502ce4,"<136,000kg",3.0
44064a,"<136,000kg",3.0
4d2261,"<136,000kg",3.0
406440,"<136,000kg",3.0
4bb064,"<136,000kg",3.0
e72800,Reserved,10.0
44f685,High vortex,8.0
a6e07d,<7000kg,7.0
ac1df7,Heavy,0.0
3451c1,Obstruction,1.0
4079f6,"<136,000kg",3.0
c08c42,,2.0
3cc57d,"<34,000kg",4.0
b46351,Obstruction,1.0
347255,"<136,000kg",3.0
484133,"<136,000kg",3.0
4009db,"<136,000kg",3.0
4cad94,"<136,000kg",3.0
4cadfb,Heavy,0.0
06a2f2,Heavy,0.0
44001b,"<136,000kg",3.0
89636e,Heavy,0.0
39cea2,"<136,000kg",3.0
491188,"<34,000kg",4.0
d4e908,Space,14.0
4d2225,"<136,000kg",3.0
400fe2,"<136,000kg",3.0
738056,"<136,000kg",3.0
3c6667,"<136,000kg",3.0
39bdae,"<136,000kg",3.0
406a63,"<136,000kg",3.0
4d2529,"<136,000kg",3.0
06a080,Heavy,0.0
440107,"<136,000kg",3.0
3442cb,"<34,000kg",4.0
4ca647,"<136,000kg",3.0
407536,"<136,000kg",3.0
4d2239,"<136,000kg",3.0
aac6ee,Heavy,0.0
503d3d,"<136,000kg",3.0
40676a,"<136,000kg",3.0
4d235d,"<34,000kg",4.0
4400eb,"<136,000kg",3.0
4070e8,"<136,000kg",3.0
395d67,Heavy,0.0
ac3448,Heavy,0.0
4858c7,"<34,000kg",4.0
4cac23,"<136,000kg",3.0
394a61,Heavy,0.0
3474c4,<7000kg,7.0
40812e,"<136,000kg",3.0
3cc57c,"<34,000kg",4.0
0201a3,Heavy,0.0
48ae86,"<136,000kg",3.0
407cb4,"<136,000kg",3.0
39c821,<7000kg,7.0
493299,"<34,000kg",4.0
5003d8,"<136,000kg",3.0
4bb28f,"<136,000kg",3.0
405a46,"<136,000kg",3.0
5001d4,"<136,000kg",3.0
e80452,Heavy,0.0
71002a,Heavy,0.0
484555,"<136,000kg",3.0
406ae2,"<136,000kg",3.0
4bca62,"<34,000kg",4.0
3c64aa,"<136,000kg",3.0
39c8f4,<7000kg,7.0
7fdcb9,Obstruction,1.0
345341,Rotorcraft,6.0
440890,"<34,000kg",4.0
407f63,"<136,000kg",3.0
c051e2,Heavy,0.0
4d2259,"<136,000kg",3.0
4ac9f0,"<136,000kg",3.0
4d2260,"<136,000kg",3.0
a70125,"<136,000kg",3.0
440631,"<136,000kg",3.0
e80473,Heavy,0.0
3432c5,"<34,000kg",4.0
4bb844,"<136,000kg",3.0
06a0ea,Heavy,0.0
345699,"<136,000kg",3.0
4b194a,"<136,000kg",3.0
4853d1,"<136,000kg",3.0
4cc569,"<136,000kg",3.0
494103,"<34,000kg",4.0
4075f3,"<136,000kg",3.0
aa104e,Heavy,0.0
ecdd9c,<7000kg,7.0
39d2ae,Heavy,0.0
39cf0a,Heavy,0.0
4cae18,"<136,000kg",3.0
4b864b,"<34,000kg",4.0
3965a9,Heavy,0.0
4b18fe,Heavy,0.0
440cc1,"<136,000kg",3.0
40753f,"<136,000kg",3.0
49d53f,"<34,000kg",4.0
440031,"<136,000kg",3.0
738050,"<136,000kg",3.0
440606,"<136,000kg",3.0
394c09,,2.0
29cbb8,,2.0
480c43,Heavy,0.0
406d26,Heavy,0.0
343407,Obstruction,1.0
39cf02,Heavy,0.0
0a0093,"<136,000kg",3.0
4bc855,"<136,000kg",3.0
4bc881,"<136,000kg",3.0
3c8445,"<34,000kg",4.0
781f29,Heavy,0.0
89653b,Heavy,0.0
a51601,Heavy,0.0
440201,"<136,000kg",3.0
a89234,Heavy,0.0
06a30a,Heavy,0.0
aa6914,Heavy,0.0
ab0969,Heavy,0.0
440bbf,High vortex,8.0
4baada,"<136,000kg",3.0
3d7e04,"<136,000kg",3.0
4baac4,"<136,000kg",3.0
0549e2,Surface service vehicle,15.0
3ce06d,"<34,000kg",4.0
39adec,"<34,000kg",4.0
4241db,"<34,000kg",4.0
5003f5,"<34,000kg",4.0
aabbd0,Heavy,0.0
440d35,"<136,000kg",3.0
4ca6f1,"<136,000kg",3.0
4d2359,"<136,000kg",3.0
39e686,"<136,000kg",3.0
400b83,"<136,000kg",3.0
0d8469,Heavy,0.0
4d0280,<7000kg,7.0
4d20d1,"<34,000kg",4.0
ea2812,Obstruction,1.0
472fd0,,2.0
461f57,Heavy,0.0
40803f,"<136,000kg",3.0
39a415,<7000kg,7.0
a89c29,"<136,000kg",3.0
3ce12d,"<34,000kg",4.0
3e826f,High vortex,8.0
4b1803,"<136,000kg",3.0
58d610,Reserved,10.0
06a0e4,Heavy,0.0
e48189,Heavy,0.0
aa9800,Heavy,0.0
45884f,"<34,000kg",4.0
4072c7,"<136,000kg",3.0
4d2245,"<136,000kg",3.0
4ca2d5,"<136,000kg",3.0
471f37,"<136,000kg",3.0
4d2126,Heavy,0.0
3c6633,,2.0
3c6594,"<136,000kg",3.0
400afb,"<136,000kg",3.0
49130f,"<34,000kg",4.0
06a0c0,Heavy,0.0
0101dc,Heavy,0.0
4d0119,Heavy,0.0
4c16a9,"<34,000kg",4.0
4acb59,"<136,000kg",3.0
06a1cb,"<136,000kg",3.0
491673,"<136,000kg",3.0
48c239,"<136,000kg",3.0
50822d,"<136,000kg",3.0
8963e4,Heavy,0.0
3e557d,<7000kg,7.0
4b191c,Heavy,0.0
a00994,"<136,000kg",3.0
4952ad,Heavy,0.0
115451,,2.0
4d2486,"<34,000kg",4.0
3c787a,"<136,000kg",3.0
502cc7,"<136,000kg",3.0
a92d6d,Heavy,0.0
8964a1,Heavy,0.0
89610f,Heavy,0.0
3432ce,"<34,000kg",4.0
506c34,"<34,000kg",4.0
4d0264,"<34,000kg",4.0
48810d,"<34,000kg",4.0
8964b4,Heavy,0.0
3441cf,Obstruction,1.0
3571cb,<7000kg,7.0
c0103a,Heavy,0.0
459a63,"<34,000kg",4.0
40653e,"<136,000kg",3.0
440096,"<136,000kg",3.0
2d4170,"<34,000kg",4.0
3949f7,Heavy,0.0
781de5,Heavy,0.0
406947,Heavy,0.0
06a128,Heavy,0.0
4b8df2,"<136,000kg",3.0
4076cd,"<136,000kg",3.0
4bb1c4,Heavy,0.0
ab84ab,Heavy,0.0
48436b,Heavy,0.0
06a12d,Heavy,0.0
4bb292,"<136,000kg",3.0
48597d,"<136,000kg",3.0
5217b3,Surface service vehicle,15.0
495302,"<136,000kg",3.0
4ca961,"<136,000kg",3.0
39bda9,"<136,000kg",3.0
3444c8,"<136,000kg",3.0
4b1a17,"<34,000kg",4.0
8960f4,Heavy,0.0
3964f8,"<136,000kg",3.0
4bb206,"<136,000kg",3.0
48a2b3,<7000kg,7.0
4b1805,"<136,000kg",3.0
89620c,Heavy,0.0
484557,"<136,000kg",3.0
4bc854,"<136,000kg",3.0
4c01ea,"<136,000kg",3.0
4bb1c7,Heavy,0.0
e8044e,Heavy,0.0
48af0f,"<136,000kg",3.0
4ac9f2,"<136,000kg",3.0
4d240d,"<136,000kg",3.0
010243,"<136,000kg",3.0
3e52f8,<7000kg,7.0
4cae17,"<136,000kg",3.0
710105,Heavy,0.0
484186,"<136,000kg",3.0
710031,"<34,000kg",4.0
45b8b7,"<34,000kg",4.0
49d369,"<136,000kg",3.0
e80422,Heavy,0.0
896213,Heavy,0.0
4ba88f,Heavy,0.0
4baa8c,"<136,000kg",3.0
06a1c8,"<136,000kg",3.0
781161,Heavy,0.0
896614,Heavy,0.0
4cad49,Heavy,0.0
4bb184,Heavy,0.0
01025e,Heavy,0.0
400610,Heavy,0.0
06a0b6,Heavy,0.0
485a81,"<136,000kg",3.0
4aca90,"<136,000kg",3.0
501c2f,"<136,000kg",3.0
3e3033,<7000kg,7.0
4d2014,"<136,000kg",3.0
485a35,"<136,000kg",3.0
47a039,"<136,000kg",3.0
48cd80,"<34,000kg",4.0
407537,"<136,000kg",3.0
4b1816,"<136,000kg",3.0
780aba,Heavy,0.0
781094,Heavy,0.0
302004,Reserved,10.0
3c64a5,"<136,000kg",3.0
3c55c9,"<136,000kg",3.0
a4ee82,Heavy,0.0
35520b,Heavy,0.0
89648a,Heavy,0.0
89630c,Heavy,0.0
39d1aa,<7000kg,7.0
493289,"<34,000kg",4.0
02a261,"<136,000kg",3.0
177102,Reserved,10.0
02a021,Lighter than air,12.0
4cadcb,"<136,000kg",3.0
3cf19d,,2.0
46b830,"<136,000kg",3.0
48418c,"<136,000kg",3.0
3ccb20,"<34,000kg",4.0
407ac3,"<136,000kg",3.0
39cf0b,Heavy,0.0
4d2418,"<136,000kg",3.0
aabbc9,Heavy,0.0
4bb852,"<136,000kg",3.0
39c424,Heavy,0.0
3c670a,Heavy,0.0
4d2365,"<34,000kg",4.0
4ebabb,Surface emergency vehicle,5.0
39d2ad,Heavy,0.0
407af2,Heavy,0.0
a07176,Heavy,0.0
fc212c,Obstruction,1.0
440d78,"<34,000kg",4.0
a0cc2c,"<34,000kg",4.0
461f5b,Heavy,0.0
490d06,"<34,000kg",4.0
cd755b,Heavy,0.0
4402f0,"<136,000kg",3.0
a8b75f,Heavy,0.0
4cadc9,Heavy,0.0
440604,"<136,000kg",3.0
ad7633,Heavy,0.0
4bb181,Heavy,0.0
3c4b29,Heavy,0.0
ab1839,Heavy,0.0
4d210b,"<136,000kg",3.0
f03cb2,Rotorcraft,6.0
300619,"<136,000kg",3.0
5002d1,"<34,000kg",4.0
ef0577,Obstruction,1.0
896209,Heavy,0.0
48449e,"<136,000kg",3.0
3949ee,Heavy,0.0
39cf11,Heavy,0.0
3949e4,Heavy,0.0
a49e9a,Heavy,0.0
440bc4,High vortex,8.0
39a203,"<136,000kg",3.0
06a0de,Heavy,0.0
4caddc,"<136,000kg",3.0
3c7a46,Heavy,0.0
4b0294,"<136,000kg",3.0
39bcc0,<7000kg,7.0
3944f8,,2.0
39a56f,"<34,000kg",4.0
3b75fa,<7000kg,7.0
400d5b,"<136,000kg",3.0
3b75f8,<7000kg,7.0
3b75ee,<7000kg,7.0
3b75f4,<7000kg,7.0
4080e0,"<136,000kg",3.0
471f86,"<136,000kg",3.0
c06120,Heavy,0.0
49328a,"<34,000kg",4.0
c97772,Obstruction,1.0
4d21dc,"<136,000kg",3.0
48c2a9,"<136,000kg",3.0
494114,"<34,000kg",4.0
44f686,High vortex,8.0
4b0f90,<7000kg,7.0
451d85,"<136,000kg",3.0
4d246f,"<136,000kg",3.0
4d22b9,"<136,000kg",3.0
3c7879,"<136,000kg",3.0
3c1bb0,Heavy,0.0
4ca244,"<136,000kg",3.0
471f05,"<136,000kg",3.0
4ca9d1,"<136,000kg",3.0
407fea,"<136,000kg",3.0
4cafce,"<136,000kg",3.0
896116,Heavy,0.0
4ca739,"<136,000kg",3.0
4d2132,"<136,000kg",3.0
4d211a,"<136,000kg",3.0
345383,Rotorcraft,6.0
440bc1,High vortex,8.0
40769a,"<136,000kg",3.0
4ca2cb,"<136,000kg",3.0
4400be,"<136,000kg",3.0
484966,"<136,000kg",3.0
44f682,High vortex,8.0
a141f6,"<136,000kg",3.0
4cae05,"<136,000kg",3.0
3c664f,"<136,000kg",3.0
39e68f,"<136,000kg",3.0
0a400a,"<34,000kg",4.0
4bb20d,"<136,000kg",3.0
3c78e2,"<34,000kg",4.0
39ab12,Heavy,0.0
4d212f,"<136,000kg",3.0
4402ea,<7000kg,7.0
4ac999,"<34,000kg",4.0
45b534,"<136,000kg",3.0
adfde7,"<136,000kg",3.0
486741,"<136,000kg",3.0
89644a,Heavy,0.0
3b776d,High vortex,8.0
ab2ae7,"<34,000kg",4.0
3c6447,"<136,000kg",3.0
e49438,,2.0
39a1e4,"<34,000kg",4.0
493285,"<34,000kg",4.0
4d02bd,<7000kg,7.0
acd5c6,"<136,000kg",3.0
a4327a,"<136,000kg",3.0
491187,"<34,000kg",4.0
398577,"<136,000kg",3.0
484165,"<136,000kg",3.0
3c658c,"<136,000kg",3.0
440193,"<136,000kg",3.0
341318,Obstruction,1.0
f3d100,Reserved,10.0
3c658d,"<136,000kg",3.0
25310f,Heavy,0.0
346489,"<136,000kg",3.0
452144,"<136,000kg",3.0
495275,Heavy,0.0
342382,Obstruction,1.0
34564d,Obstruction,1.0
a88d86,"<136,000kg",3.0
0101dd,Heavy,0.0
e80450,Heavy,0.0
39cf12,Heavy,0.0
ad6ec5,Heavy,0.0
4caddd,"<136,000kg",3.0
11d538,,2.0
4d2465,"<34,000kg",4.0
a05521,"<136,000kg",3.0
ab649a,Heavy,0.0
8963eb,Heavy,0.0
406c43,"<136,000kg",3.0
3c6469,,2.0
44025c,"<136,000kg",3.0
30048f,"<34,000kg",4.0
4d217a,"<34,000kg",4.0
896455,Heavy,0.0
503e6a,"<136,000kg",3.0
405a49,"<136,000kg",3.0
505ed4,<7000kg,7.0
3e4053,<7000kg,7.0
789243,Heavy,0.0
49130e,"<34,000kg",4.0
3ccd45,"<34,000kg",4.0
485345,Heavy,0.0
71011d,Heavy,0.0
a4c703,Heavy,0.0
e494f9,Heavy,0.0
ac308f,Heavy,0.0
4d20fe,"<136,000kg",3.0
a8b5fc,Heavy,0.0
471efc,"<136,000kg",3.0
4ca304,"<136,000kg",3.0
484349,"<136,000kg",3.0
471f5d,"<136,000kg",3.0
4b169a,"<136,000kg",3.0
3929cc,"<34,000kg",4.0
